2015-02-22 13:00:08 -0800,569602563261276160,negative,1.0,Customer Service Issue,0.6589,American,,otisday,,0,"@AmericanAir @russelneiss No, American. This is simple. How about YOU call HER back with the info for her new flight. Basic customer service",,Pekin,Eastern Time (US & Canada)
2015-02-22 12:59:04 -0800,569602295224246272,negative,1.0,Lost Luggage,1.0,American,,GMFujarski,,0,@AmericanAir I have looked and I was told it was in Guatemala last night. No record of anywhere today. I need my clothing for work tomorrow.,,,
2015-02-22 12:58:10 -0800,569602069335838720,negative,1.0,Customer Service Issue,1.0,American,,otisday,,0,"@AmericanAir Cool, a canned response. Nah, I think I'll keep tweeting at everyone who mentions AA on Twitter. You could DM me, though.",,Pekin,Eastern Time (US & Canada)
2015-02-22 12:58:07 -0800,569602057285574656,negative,1.0,Flight Booking Problems,0.6626,American,,jweslo,,0,@AmericanAir please fix your mobile and desktop site to allow Canadians to select a passenger when checking in. Thanks.,,Brantford,
2015-02-22 12:57:38 -0800,569601934853873664,negative,1.0,Customer Service Issue,1.0,American,,rakugojon,,0,@AmericanAir tried ringing but told me to try again Late Flightr. I'm supposed to be leaving in an hour...,,San Francisco,London
2015-02-22 12:57:23 -0800,569601869598867456,positive,1.0,,,American,,mattlantz,,0,@AmericanAir You guys did an amazing job today! Know it’s hard; thanks to Kate Appleton for all her hard work reFlight Booking Problems my friends and me!,,"Tyler, Texas",Central Time (US & Canada)
2015-02-22 12:55:59 -0800,569601519663906819,negative,1.0,Late Flight,0.6925,American,,tj_carlson,,0,.@AmericanAir cover a rental car or refund our ticket? - I'll gladly drive 10 hrs home than be stuck here till Tues!,,"Brookings, SD",Central Time (US & Canada)
2015-02-22 12:55:22 -0800,569601363799359488,negative,1.0,Flight Attendant Complaints,1.0,American,,stevereasnors,,0,@AmericanAir should reconsider #usairways acquisition. Flight 1843 AA gold flyers insulted by attendant for hanging jacket!,,Los Angeles,Pacific Time (US & Canada)
2015-02-22 12:55:20 -0800,569601354118905859,negative,1.0,Can't Tell,0.3606,American,,ronrisman,,0,@AmericanAir   You neglected to mention the $200 fee per ticket.  I had a medical reason and still have had to jump thru hoops.,,New England,Central Time (US & Canada)
2015-02-22 12:55:16 -0800,569601337882755073,neutral,1.0,,,American,,elizabethlawley,,0,@AmericanAir yes and I would like a refund.,,Chicago,Central Time (US & Canada)
